Client_ID,Applied,Approved,Total_Tradelines_6m_In,Total_Tradelines_1y_In,Total_Tradelines_2y_In,Max_Trade_3m_Out,Total_Enquiry_6m_In,Total_Enquiry_1y_In,Total_Enquiry_2y_In,Target,Approval_Rate,Enquiry_Intensity,Tradeline_Growth,Debt_Pressure,Behavioral_Risk_Score,Risk_Segment
100028,2,0,17.0,25,31,18526,14.0,21.0,21,0,0.0,0.6666666666666666,9.25,1029.2222222222222,0.5024764862631496,High
100029,3,3,7.0,20,33,11336,4.0,11.0,12,1,1.0,0.36363636363636365,-1.25,1417.0,0.2621138370417639,Low
100030,1,1,5.0,12,26,11681,12.0,12.0,14,1,1.0,1.0,-1.5,1946.8333333333333,0.47961773348931785,High
100031,0,0,16.0,16,19,18906,14.0,15.0,25,0,0.0,0.9333333333333333,11.25,1112.1176470588234,0.6205285531944874,High
100032,0,0,9.0,9,10,3145,1.0,20.0,32,0,0.0,0.05,6.5,314.5,0.2467816007910643,Low
100033,3,0,11.0,18,38,13528,2.0,10.0,12,0,0.0,0.2,1.5,1127.3333333333333,0.2409217361633381,Low
100034,4,2,0.0,6,31,3725,1.0,24.0,27,1,0.5,0.041666666666666664,-7.75,3725.0,0.1030855686471129,Low
100035,3,1,18.0,28,35,9751,7.0,11.0,24,1,0.3333333333333333,0.6363636363636364,9.25,513.2105263157895,0.4837515654759786,High
100036,4,2,3.0,28,38,10123,3.0,11.0,33,1,0.5,0.2727272727272727,-6.5,2530.75,0.17750782771307963,Low
100037,3,2,19.0,25,38,16575,5.0,16.0,21,1,0.6666666666666666,0.3125,9.5,828.75,0.38454273557839613,Medium
100038,2,2,1.0,9,24,7007,0.0,17.0,24,1,1.0,0.0,-5.0,3503.5,0.12368927745745245,Low
100040,1,1,14.0,14,14,18623,1.0,20.0,22,1,1.0,0.05,10.5,1241.5333333333333,0.317830318096989,Low
100041,2,2,9.0,25,25,12843,7.0,7.0,7,1,1.0,1.0,2.75,1284.3,0.5275728391966797,High
100042,2,2,5.0,14,14,11630,5.0,9.0,29,1,1.0,0.5555555555555556,1.5,1938.3333333333333,0.37299419468352785,Medium
100043,1,1,19.0,19,26,3376,1.0,6.0,33,1,1.0,0.16666666666666666,12.5,168.8,0.3665687933483747,Medium
100044,0,0,11.0,29,29,2028,3.0,6.0,32,0,0.0,0.5,3.75,169.0,0.35615546920698593,Medium
100045,4,2,2.0,9,15,7275,4.0,20.0,21,1,0.5,0.2,-1.75,2425.0,0.21747026545221582,Low
100046,4,1,13.0,24,29,14316,4.0,22.0,30,1,0.25,0.18181818181818182,5.75,1022.5714285714286,0.29213806130639924,Low
100047,3,1,10.0,17,39,6392,14.0,21.0,21,1,0.3333333333333333,0.6666666666666666,0.25,581.0909090909091,0.36998703505346775,Medium
100048,0,0,9.0,23,36,12409,3.0,3.0,19,0,0.0,1.0,0.0,1240.9,0.4886530667669424,High
100049,1,1,1.0,18,18,14009,3.0,9.0,23,1,1.0,0.3333333333333333,-3.5,7004.5,0.31414462689061584,Low
100050,0,0,15.0,19,21,17060,10.0,22.0,22,0,0.0,0.45454545454545453,9.75,1066.25,0.43933269141654696,Medium
100051,4,1,11.0,17,22,16175,10.0,10.0,29,1,0.25,1.0,5.5,1347.9166666666667,0.5668304852232527,High
100052,4,4,19.0,23,23,6607,6.0,17.0,17,1,1.0,0.35294117647058826,13.25,330.35,0.4417768880761965,Medium
100053,2,2,19.0,23,33,6851,9.0,20.0,32,1,1.0,0.45,10.75,342.55,0.43961150107239355,Medium
100054,2,2,16.0,28,30,9159,3.0,20.0,28,1,1.0,0.15,8.5,538.7647058823529,0.3116407641438793,Low
100055,3,3,19.0,19,19,17047,4.0,6.0,18,1,1.0,0.6666666666666666,14.25,852.35,0.5689649313389599,High
100056,3,2,1.0,22,28,18286,6.0,20.0,20,1,0.6666666666666666,0.3,-6.0,9143.0,0.304051245090666,Low
100057,4,0,11.0,11,19,12424,5.0,15.0,33,0,0.0,0.3333333333333333,6.25,1035.3333333333333,0.3498008412021949,Medium
100059,2,2,19.0,19,19,16457,6.0,18.0,28,1,1.0,0.3333333333333333,14.25,822.85,0.45736079774936633,High
100060,0,0,7.0,17,30,5816,1.0,14.0,27,0,0.0,0.07142857142857142,-0.5,727.0,0.16359619409725953,Low
100061,0,0,1.0,8,28,7480,2.0,13.0,13,0,0.0,0.15384615384615385,-6.0,3740.0,0.1650349759916694,Low
100063,1,0,6.0,22,22,9911,1.0,8.0,14,0,0.0,0.125,0.5,1415.857142857143,0.20685483790741999,Low
100064,1,1,18.0,23,37,11393,9.0,20.0,20,1,1.0,0.45,8.75,599.6315789473684,0.41613023167511826,Medium
100065,3,1,2.0,25,25,16865,4.0,14.0,14,1,0.3333333333333333,0.2857142857142857,-4.25,5621.666666666667,0.26474416749235,Low
100066,0,0,11.0,19,28,15896,3.0,4.0,7,0,0.0,0.75,4.0,1324.6666666666667,0.4622752499930363,High
100067,1,0,5.0,16,21,1914,7.0,17.0,28,0,0.0,0.4117647058823529,-0.25,319.0,0.27369504290393354,Low
100068,1,1,5.0,11,34,8264,2.0,5.0,21,1,1.0,0.4,-3.5,1377.3333333333333,0.2423221149828696,Low
100069,0,0,7.0,13,23,12934,10.0,10.0,34,0,0.0,1.0,1.25,1616.75,0.5122956185064483,High
100070,4,1,5.0,18,38,17117,10.0,10.0,31,1,0.25,1.0,-4.5,2852.8333333333335,0.45309270633129994,Medium
100071,3,3,3.0,27,29,2054,8.0,19.0,19,1,1.0,0.42105263157894735,-4.25,513.5,0.2244860684132827,Low
100072,0,0,9.0,25,32,1760,10.0,19.0,24,0,0.0,0.5263157894736842,1.0,176.0,0.32684994297182746,Medium
100073,1,0,10.0,27,38,6829,7.0,15.0,34,0,0.0,0.4666666666666667,0.5,620.8181818181819,0.3074565376755775,Low
100074,0,0,13.0,22,38,15907,11.0,11.0,13,0,0.0,1.0,3.5,1136.2142857142858,0.5355146046469059,High
100075,3,0,0.0,21,28,11833,13.0,13.0,31,0,0.0,1.0,-7.0,11833.0,0.5684526545221581,High
100076,3,1,15.0,23,28,3891,8.0,15.0,19,1,0.3333333333333333,0.5333333333333333,8.0,243.1875,0.4275342260661263,Medium
100077,0,0,1.0,14,24,8290,12.0,20.0,20,0,0.0,0.6,-5.0,4145.0,0.33441042728614806,Medium
100078,0,0,7.0,13,21,9326,3.0,5.0,25,0,0.0,0.6,1.75,1165.75,0.3783693351160135,Medium
100079,3,3,4.0,7,18,1276,14.0,17.0,17,1,1.0,0.8235294117647058,-0.5,255.2,0.40641145707886234,Medium
100080,2,1,11.0,26,32,5213,11.0,19.0,19,1,0.5,0.5789473684210527,3.0,434.4166666666667,0.37649040160148006,Medium
100081,1,1,18.0,18,38,17753,0.0,19.0,21,1,1.0,0.0,8.5,934.3684210526316,0.26825234123371433,Low
100082,1,0,18.0,20,24,16687,10.0,10.0,10,0,0.0,1.0,12.0,878.2631578947369,0.649259119376531,High
100083,4,3,4.0,25,33,10572,12.0,12.0,16,1,0.75,1.0,-4.25,2114.4,0.4442237681401633,Medium
100084,3,0,11.0,14,28,13962,5.0,13.0,17,0,0.0,0.38461538461538464,4.0,1163.5,0.3377868599117659,Medium
100085,4,3,7.0,16,34,4504,7.0,24.0,24,1,0.75,0.2916666666666667,-1.5,563.0,0.2203791328932342,Low
100086,2,2,15.0,16,16,16122,12.0,19.0,19,1,1.0,0.631578947368421,11.0,1007.625,0.5147251890799113,High
100087,0,0,8.0,29,29,11547,5.0,21.0,25,0,0.0,0.23809523809523808,0.75,1283.0,0.245805081036342,Low
100088,2,2,3.0,22,22,15273,13.0,13.0,23,1,1.0,1.0,-2.5,3818.25,0.4970051321690203,High
100089,4,3,8.0,10,30,18244,14.0,19.0,22,1,0.75,0.7368421052631579,0.5,2027.111111111111,0.42101786552883974,Medium
100090,3,3,10.0,18,32,12050,14.0,14.0,25,1,1.0,1.0,2.0,1095.4545454545455,0.5140000690028893,High
100091,3,3,1.0,13,17,2409,1.0,22.0,22,1,1.0,0.045454545454545456,-3.25,1204.5,0.12472402009566713,Low
100092,3,3,10.0,24,24,7629,13.0,16.0,16,1,1.0,0.8125,4.0,693.5454545454545,0.4725608903018655,High
100093,1,1,9.0,26,36,8201,4.0,20.0,20,1,1.0,0.2,0.0,820.1,0.2149537269156848,Low
100094,4,1,12.0,25,28,3514,6.0,10.0,10,1,0.25,0.6,5.0,270.3076923076923,0.40854303126332453,Medium
100095,0,0,2.0,27,27,6625,3.0,23.0,23,0,0.0,0.13043478260869565,-4.75,2208.3333333333335,0.14899412393744635,Low
100096,2,1,16.0,27,27,14055,8.0,24.0,24,1,0.5,0.3333333333333333,9.25,826.7647058823529,0.38798177832175734,Medium
100097,1,1,11.0,11,24,13935,5.0,6.0,22,1,1.0,0.8333333333333334,5.0,1161.25,0.5012107949639285,High
100098,3,1,16.0,16,32,2585,1.0,7.0,31,1,0.3333333333333333,0.14285714285714285,8.0,152.05882352941177,0.2958524963841975,Low
100099,0,0,4.0,12,12,14482,2.0,6.0,7,0,0.0,0.3333333333333333,1.0,2896.4,0.30798748642099105,Low
100100,3,0,16.0,16,32,10596,6.0,13.0,13,0,0.0,0.46153846153846156,8.0,623.2941176470588,0.40995518202331427,Medium
100101,4,1,4.0,22,30,15900,2.0,12.0,12,1,0.25,0.16666666666666666,-3.5,3180.0,0.19467163170942314,Low
100102,4,2,18.0,18,19,16909,2.0,8.0,18,1,0.5,0.25,13.25,889.9473684210526,0.41681550433282166,Medium
100103,4,2,10.0,23,25,6821,8.0,24.0,24,1,0.5,0.3333333333333333,3.75,620.0909090909091,0.308138827482648,Low
100104,1,1,18.0,20,24,14804,11.0,11.0,27,1,1.0,1.0,12.0,779.1578947368421,0.6476028101401662,High
100105,0,0,7.0,17,17,16293,10.0,10.0,10,0,0.0,1.0,2.75,2036.625,0.5401461658449626,High
100106,4,4,16.0,16,35,13845,8.0,16.0,18,1,1.0,0.5,7.25,814.4117647058823,0.4155531060088446,Medium
100107,0,0,19.0,19,25,9652,7.0,24.0,33,0,0.0,0.2916666666666667,12.75,482.6,0.4169521043982061,Medium
100108,1,1,1.0,12,34,17185,0.0,23.0,23,1,1.0,0.0,-7.5,8592.5,0.17401761093005766,Low
100109,1,1,15.0,15,15,18691,7.0,17.0,21,1,1.0,0.4117647058823529,11.25,1168.1875,0.44760941854806596,Medium
100110,3,1,7.0,8,19,2955,5.0,19.0,19,1,0.3333333333333333,0.2631578947368421,2.25,369.375,0.2597235599653433,Low
100111,4,3,2.0,10,24,9171,7.0,7.0,16,1,0.75,1.0,-4.0,3057.0,0.4634493119968803,High
100112,4,3,14.0,27,27,11515,10.0,15.0,15,1,0.75,0.6666666666666666,7.25,767.6666666666666,0.47032742820534246,High
100113,2,2,4.0,29,29,13258,12.0,13.0,14,1,1.0,0.9230769230769231,-3.25,2651.6,0.44144965428432464,Medium
100114,0,0,7.0,7,29,11585,4.0,5.0,27,0,0.0,0.8,-0.25,1448.125,0.42197745188156316,Medium
100115,1,1,10.0,28,28,13860,9.0,9.0,12,1,1.0,1.0,3.0,1260.0,0.5306389445976435,High
100116,0,0,19.0,19,38,14730,14.0,18.0,18,0,0.0,0.7777777777777778,9.5,736.5,0.5380935883865816,High
100117,2,1,17.0,17,28,6843,14.0,14.0,27,1,0.5,1.0,10.0,380.1666666666667,0.6131568410350686,High
100118,1,1,0.0,23,23,9638,13.0,21.0,23,1,1.0,0.6190476190476191,-5.75,9638.0,0.422145423724767,Medium
100119,4,3,16.0,16,34,12634,0.0,13.0,13,1,0.75,0.0,7.5,743.1764705882352,0.2511681327080845,Low
100120,0,0,0.0,12,32,14870,10.0,21.0,21,0,0.0,0.47619047619047616,-8.0,14870.0,0.4307168373742077,Medium
100122,1,1,2.0,19,19,2722,9.0,15.0,26,1,1.0,0.6,-2.75,907.3333333333334,0.3115505139132615,Low
100123,4,4,14.0,14,33,2078,10.0,13.0,25,1,1.0,0.7692307692307693,5.75,138.53333333333333,0.4731676587110279,High
100124,3,2,5.0,17,26,8724,1.0,19.0,19,1,0.6666666666666666,0.05263157894736842,-1.5,1454.0,0.15559172043294497,Low
100125,0,0,19.0,19,39,2427,2.0,20.0,20,0,0.0,0.1,9.25,121.35,0.29841466811509426,Low
100126,0,0,13.0,27,30,4954,8.0,20.0,20,0,0.0,0.4,5.5,353.85714285714283,0.3502171397931613,Medium
100127,0,0,4.0,26,31,3247,10.0,15.0,15,0,0.0,0.6666666666666666,-3.75,649.4,0.31557310381326426,Low
100128,0,0,14.0,14,22,14060,4.0,10.0,10,0,0.0,0.4,8.5,937.3333333333334,0.4016352260382719,Medium
100129,4,1,2.0,16,23,12032,10.0,10.0,32,1,0.25,1.0,-3.75,4010.6666666666665,0.48285980891897157,High
100130,1,0,3.0,21,24,6208,14.0,19.0,23,0,0.0,0.7368421052631579,-3.0,1552.0,0.36446639992435337,Medium
100131,0,0,18.0,24,24,4039,12.0,19.0,19,0,0.0,0.631578947368421,12.0,212.57894736842104,0.5153267703289308,High
100132,3,1,6.0,17,17,2021,5.0,16.0,24,1,0.3333333333333333,0.3125,1.75,288.7142857142857,0.26787843155980534,Low
100133,4,1,8.0,25,32,6638,14.0,14.0,24,1,0.25,1.0,0.0,737.5555555555555,0.48024085912184433,High
100134,4,2,0.0,29,29,10916,4.0,24.0,34,1,0.5,0.16666666666666666,-7.25,10916.0,0.27187717612322776,Low
100135,4,0,17.0,17,17,12708,13.0,22.0,22,0,0.0,0.5909090909090909,12.75,706.0,0.5204331798810365,High
100136,3,0,0.0,11,27,13219,4.0,16.0,16,0,0.0,0.25,-6.75,13219.0,0.3450885769198629,Medium
100137,1,1,17.0,19,24,16778,1.0,17.0,17,1,1.0,0.058823529411764705,11.0,932.1111111111111,0.3225446810154941,Medium
100138,3,3,1.0,17,25,13830,6.0,6.0,21,1,1.0,1.0,-5.25,6915.0,0.5105655134954458,High
100139,3,2,9.0,26,26,15764,3.0,22.0,30,1,0.6666666666666666,0.13636363636363635,2.5,1576.4,0.24110358726396577,Low
100140,3,3,8.0,22,27,11476,2.0,6.0,27,1,1.0,0.3333333333333333,1.25,1275.111111111111,0.284363713174192,Low
100141,0,0,4.0,20,28,8054,6.0,19.0,28,0,0.0,0.3157894736842105,-3.0,1610.8,0.22509822516305808,Low
100142,0,0,2.0,20,20,4346,12.0,12.0,24,0,0.0,1.0,-3.0,1448.6666666666667,0.4504587267764129,Medium
100143,4,2,1.0,27,37,14279,7.0,7.0,7,1,0.5,1.0,-8.25,7139.5,0.47265083145316283,High
100144,1,1,12.0,14,34,17857,13.0,15.0,15,1,1.0,0.8666666666666667,3.5,1373.6153846153845,0.4950377560727899,High
100145,2,0,18.0,18,34,3232,5.0,15.0,29,0,0.0,0.3333333333333333,9.5,170.10526315789474,0.3804794966127611,Medium
100146,0,0,6.0,12,20,7062,0.0,20.0,20,0,0.0,0.0,1.0,1008.8571428571429,0.1653305767447783,Low
100147,2,2,7.0,23,23,5561,10.0,10.0,33,1,1.0,1.0,1.25,695.125,0.49689284421046764,High
100148,0,0,8.0,8,27,9069,5.0,16.0,16,0,0.0,0.3125,1.25,1007.6666666666666,0.2729495696498705,Low
100149,0,0,0.0,22,27,18904,10.0,18.0,25,0,0.0,0.5555555555555556,-6.75,18904.0,0.5419517097945276,High
100150,4,1,6.0,10,17,10039,6.0,8.0,12,1,0.25,0.75,1.75,1434.142857142857,0.4328548846629819,Medium
100151,0,0,13.0,29,29,2063,0.0,15.0,15,0,0.0,0.0,5.75,147.35714285714286,0.21690487133267278,Low
100152,4,2,2.0,12,36,2506,11.0,21.0,21,1,0.5,0.5238095238095238,-7.0,835.3333333333334,0.22592260163863323,Low
100153,0,0,1.0,15,36,10407,3.0,15.0,22,0,0.0,0.2,-8.0,5203.5,0.17710074231915549,Low
100154,1,1,0.0,20,35,14801,14.0,19.0,34,1,1.0,0.7368421052631579,-8.75,14801.0,0.5060308758442441,High
100155,1,1,19.0,19,23,10550,3.0,18.0,25,1,1.0,0.16666666666666666,13.25,527.5,0.3829802791008607,Medium
100156,2,1,19.0,19,31,13102,3.0,17.0,27,1,0.5,0.17647058823529413,11.25,655.1,0.3606030063065588,Medium
100157,1,0,17.0,17,17,14728,0.0,9.0,30,0,0.0,0.0,12.75,818.2222222222222,0.32533901098390944,Medium
100158,0,0,17.0,17,30,7965,7.0,23.0,23,0,0.0,0.30434782608695654,9.5,442.5,0.3753700923312055,Medium
100159,2,2,4.0,13,24,7715,1.0,23.0,31,1,1.0,0.043478260869565216,-2.0,1543.0,0.14708359371120824,Low
100160,3,2,8.0,27,27,15476,7.0,7.0,31,1,0.6666666666666666,1.0,1.25,1719.5555555555557,0.5140137693471862,High
100161,0,0,16.0,18,37,11623,10.0,16.0,16,0,0.0,0.625,6.75,683.7058823529412,0.4480908896524265,Medium
100162,2,1,13.0,13,25,11888,3.0,18.0,18,1,0.5,0.16666666666666666,6.75,849.1428571428571,0.29807799822527825,Low
100163,2,0,10.0,17,17,6257,6.0,8.0,11,0,0.0,0.75,5.75,568.8181818181819,0.47394859221444835,High
100164,3,3,7.0,13,34,6490,10.0,14.0,17,1,1.0,0.7142857142857143,-1.5,811.25,0.3654010582673782,Medium
100165,1,0,0.0,12,25,13019,3.0,4.0,27,0,0.0,0.75,-6.25,13019.0,0.5153571627531267,High
100166,1,1,16.0,25,28,7783,8.0,12.0,12,1,1.0,0.6666666666666666,9.0,457.8235294117647,0.4894546911686877,High
100167,0,0,19.0,19,28,16055,14.0,14.0,14,0,0.0,1.0,12.0,802.75,0.6479970961811649,High
100168,4,4,3.0,15,33,4027,7.0,7.0,31,1,1.0,1.0,-5.25,1006.75,0.4118231386312359,Medium
100169,1,1,16.0,16,33,11524,4.0,7.0,33,1,1.0,0.5714285714285714,7.75,677.8823529411765,0.44402530921284694,Medium
100170,3,1,19.0,19,19,3958,7.0,7.0,23,1,0.3333333333333333,1.0,14.25,197.9,0.6691384641096348,High
100171,0,0,9.0,17,35,3446,12.0,12.0,12,0,0.0,1.0,0.25,344.6,0.47714576195649144,High
100172,3,0,6.0,12,29,1020,12.0,12.0,24,0,0.0,1.0,-1.25,145.71428571428572,0.4529885259861444,Medium
100173,1,1,12.0,12,24,5459,11.0,11.0,11,1,1.0,1.0,6.0,419.9230769230769,0.5582657195107057,High
100174,0,0,12.0,12,25,17419,1.0,19.0,19,0,0.0,0.05263157894736842,5.75,1339.923076923077,0.25437963988237106,Low
100175,0,0,17.0,22,34,10466,6.0,18.0,22,0,0.0,0.3333333333333333,8.5,581.4444444444445,0.37346516577996897,Medium
100176,0,0,18.0,27,36,3095,1.0,3.0,17,0,0.0,0.3333333333333333,9.0,162.89473684210526,0.37341454533593116,Medium
100177,3,0,14.0,14,18,5020,7.0,11.0,18,0,0.0,0.6363636363636364,9.5,334.6666666666667,0.4842398508777927,High
100178,3,1,5.0,15,21,9461,4.0,4.0,26,1,0.3333333333333333,1.0,-0.25,1576.8333333333333,0.4907951728364112,High
100179,3,1,7.0,8,11,3738,14.0,21.0,21,1,0.3333333333333333,0.6666666666666666,4.25,467.25,0.42364001002757573,Medium
100180,1,1,19.0,19,30,1887,5.0,22.0,22,1,1.0,0.22727272727272727,11.5,94.35,0.3716376696268273,Medium
100181,2,2,2.0,27,27,2243,12.0,12.0,12,1,1.0,1.0,-4.75,747.6666666666666,0.41443762012200214,Medium
100182,1,0,2.0,10,38,1542,10.0,16.0,17,0,0.0,0.625,-7.5,514.0,0.24733799197793935,Low
100183,2,2,7.0,8,22,10010,4.0,20.0,20,1,1.0,0.2,1.5,1251.25,0.24299270911673773,Low
100184,0,0,3.0,14,29,15101,3.0,3.0,16,0,0.0,1.0,-4.25,3775.25,0.4719809336787277,High
100185,4,0,1.0,13,14,18122,0.0,5.0,30,0,0.0,0.0,-2.5,9061.0,0.2512919208378597,Low
100186,0,0,18.0,18,32,2576,8.0,24.0,24,0,0.0,0.3333333333333333,10.0,135.57894736842104,0.38684691564081924,Medium
100187,2,2,13.0,21,21,4607,6.0,6.0,15,1,1.0,1.0,7.75,329.07142857142856,0.5810529054105138,High
100188,0,0,15.0,17,17,8303,3.0,11.0,31,0,0.0,0.2727272727272727,10.75,518.9375,0.383468490368716,Medium
100189,4,4,7.0,23,23,11945,6.0,6.0,19,1,1.0,1.0,1.25,1493.125,0.5102295200690788,High
100190,0,0,3.0,6,15,18285,3.0,5.0,5,0,0.0,0.6,-0.75,4571.25,0.40056196206233813,Medium
100191,0,0,11.0,13,25,9535,14.0,24.0,30,0,0.0,0.5833333333333334,4.75,794.5833333333334,0.4082772763989861,Medium
100192,3,3,16.0,17,23,14230,4.0,22.0,26,1,1.0,0.18181818181818182,10.25,837.0588235294117,0.35153765844783785,Medium
100193,1,0,13.0,24,39,9211,1.0,9.0,27,0,0.0,0.1111111111111111,3.25,657.9285714285714,0.2277526756782209,Low
100194,0,0,8.0,15,22,6410,10.0,22.0,30,0,0.0,0.45454545454545453,2.5,712.2222222222222,0.3327215129906907,Medium
100195,0,0,8.0,8,27,7917,7.0,13.0,13,0,0.0,0.5384615384615384,1.25,879.6666666666666,0.3461308662925609,Medium
100196,2,1,4.0,21,22,11277,1.0,13.0,21,1,0.5,0.07692307692307693,-1.5,2255.4,0.17708238521318242,Low
100197,3,3,18.0,18,18,2065,1.0,11.0,11,1,1.0,0.09090909090909091,13.5,108.6842105263158,0.3542004642551706,Medium
100198,4,1,5.0,14,34,17219,2.0,8.0,33,1,0.25,0.25,-3.5,2869.8333333333335,0.21726570986880592,Low
100199,1,1,19.0,26,26,7399,14.0,14.0,17,1,1.0,1.0,12.5,369.95,0.6477083159243475,High
100200,1,1,13.0,13,13,9203,4.0,21.0,21,1,1.0,0.19047619047619047,9.75,657.3571428571429,0.3444759298388027,Medium
100201,0,0,17.0,17,23,5715,3.0,3.0,23,0,0.0,1.0,11.25,317.5,0.629470627559121,High
100202,4,2,19.0,19,19,1559,0.0,7.0,34,1,0.5,0.0,14.25,77.95,0.3338004512409125,Medium
100203,1,1,18.0,25,25,7842,12.0,12.0,12,1,1.0,1.0,11.75,412.7368421052632,0.6380067297641614,High
100204,0,0,13.0,16,16,12399,14.0,14.0,14,0,0.0,1.0,9.0,885.6428571428571,0.6077157868662632,High
100205,0,0,16.0,16,22,12871,6.0,20.0,20,0,0.0,0.3,10.5,757.1176470588235,0.3930677930485305,Medium
100206,2,1,12.0,12,38,6015,7.0,7.0,7,1,0.5,1.0,2.5,462.6923076923077,0.5103693945743958,High
100207,3,1,17.0,17,37,10955,12.0,20.0,20,1,0.3333333333333333,0.6,7.75,608.6111111111111,0.45239141435243213,Medium
100208,1,1,19.0,19,19,6474,0.0,12.0,22,1,1.0,0.0,14.25,323.7,0.3379075791760675,Medium
100209,4,1,3.0,7,11,9594,0.0,12.0,30,1,0.25,0.0,0.25,2398.5,0.17813849196401213,Low
100210,2,0,15.0,24,24,16843,11.0,11.0,11,0,0.0,1.0,9.0,1052.6875,0.6105075415726581,High
100211,0,0,4.0,12,16,18741,14.0,22.0,33,0,0.0,0.6363636363636364,0.0,3748.2,0.40934451370055536,Medium
100212,3,3,3.0,19,19,13280,6.0,6.0,34,1,1.0,1.0,-1.75,3320.0,0.49909473273724964,High
100213,1,1,7.0,22,27,17457,8.0,19.0,22,1,1.0,0.42105263157894735,0.25,2182.125,0.31487317462202347,Low
100214,3,2,4.0,19,19,3167,10.0,10.0,29,1,0.6666666666666666,1.0,-0.75,633.4,0.46808347956881424,High
100215,0,0,9.0,20,30,12340,14.0,18.0,32,0,0.0,0.7777777777777778,1.5,1234.0,0.43529700890411593,Medium
100216,0,0,7.0,23,23,18556,2.0,9.0,33,0,0.0,0.2222222222222222,1.25,2319.5,0.26478115744222536,Low
100217,0,0,3.0,7,12,9668,13.0,13.0,15,0,0.0,1.0,0.0,2417.0,0.5083087866633241,High
100218,4,0,0.0,12,21,18010,13.0,17.0,23,0,0.0,0.7647058823529411,-5.25,18010.0,0.6175607307350114,High
